Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
1115680	746191	200 ACTUAT Beclomethasone 0.042 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1115681	746193	200 ACTUAT Beclomethasone 0.042 MG/ACTUAT Metered Dose Inhaler [Beclovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1115703	746451	200 ACTUAT Beclomethasone 0.04 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1115704	746452	100 ACTUAT Beclomethasone 0.04 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1115705	746455	100 ACTUAT Beclomethasone 0.08 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19131404	801855	100 ACTUAT Beclomethasone 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19131418	801886	100 ACTUAT Beclomethasone 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
35519070	50090303300	120 ACTUAT Beclomethasone Dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]	11-digit NDC	Drug	NDC	Valid	Non-standard
35524688	53002243603	Breath-Actuated 120 ACTUAT Beclomethasone Dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]	11-digit NDC	Drug	NDC	Valid	Non-standard
35524689	53002347703	Breath-Actuated 120 ACTUAT Beclomethasone Dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar]	11-digit NDC	Drug	NDC	Valid	Non-standard
35745022	OMOP2746483	Beclomethasone 0.1 MG Metered Dose Inhaler [Becotide] Box of 112 by Glaxosmithkline	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745023	OMOP2746484	Beclomethasone 0.1 MG Metered Dose Inhaler [Beconase] Box of 120 by Glaxosmithkline	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745024	OMOP2746485	Beclomethasone 0.25 MG/ACTUAT Metered Dose Inhaler [Asmabec] by Focus	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745025	OMOP2746486	Beclomethasone 0.2 MG Metered Dose Inhaler [Becotide] Box of 30 by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745026	OMOP2746487	Beclomethasone 0.2 MG Metered Dose Inhaler [Beconase] Box of 120 by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745027	OMOP2746488	Beclomethasone 0.2 MG Metered Dose Inhaler [Beconase] Box of 40 by Glaxosmithkline	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35745028	OMOP2746489	Beclomethasone 0.05 MG/ACTUAT Metered Dose Inhaler [Asmabec] by Focus	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35746369	OMOP2747830	Beclomethasone 0.25 MG/ACTUAT Metered Dose Inhaler [Asmabec]	Branded Drug	Drug	RxNorm Extension	Valid	Standard
35746370	OMOP2747831	Beclomethasone 0.1 MG/ACTUAT Metered Dose Inhaler [Pulvinal Beclometasone Dipropionate]	Branded Drug	Drug	RxNorm Extension	Valid	Standard
35749217	OMOP2750678	Beclomethasone 0.1 MG Metered Dose Inhaler Box of 120 by TEVA	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35749218	OMOP2750679	Beclomethasone 0.2 MG Metered Dose Inhaler [Beconase] by Lexon	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35750528	OMOP2751989	Beclomethasone 0.2 MG Metered Dose Inhaler [Becotide] Box of 112	Branded Drug Box	Drug	RxNorm Extension	Valid	Standard
35753377	OMOP2754838	Beclomethasone 0.1 MG Metered Dose Inhaler [Becotide] by Glaxosmithkline	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35753378	OMOP2754839	Beclomethasone 0.1 MG Metered Dose Inhaler [Beconase] by Glaxosmithkline	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35753379	OMOP2754840	Beclomethasone 0.2 MG Metered Dose Inhaler [Becotide] Box of 100 by Dowelhurst	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35753380	OMOP2754841	Beclomethasone 0.2 MG Metered Dose Inhaler [Beconase] Box of 120 by Necessity Supplies	Marketed Product	Drug	RxNorm Extension	Invalid	Non-standard
35753381	OMOP2754842	Beclomethasone 0.2 MG Metered Dose Inhaler [Beconase] by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35753382	OMOP2754843	Beclomethasone 0.1 MG/ACTUAT Metered Dose Inhaler [Pulvinal Beclometasone Dipropionate] by Chiesi	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35753887	OMOP2755348	Beclomethasone Metered Dose Inhaler [Becotide]	Branded Drug Form	Drug	RxNorm Extension	Valid	Standard
35753888	OMOP2755349	Beclomethasone Metered Dose Inhaler [Beconase]	Branded Drug Form	Drug	RxNorm Extension	Valid	Standard
