Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
19127772	746830	60 ACTUAT Budesonide 0.09 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
21023169	OMOP365862	Budesonide 0.1 MG/ACTUAT / formoterol 0.006 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Mawdsley-Brooks	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21023171	OMOP365882	Budesonide 0.2 MG/ACTUAT / formoterol 0.006 MG/ACTUAT Dry Powder Inhaler [Duoresp] by TEVA	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21023172	OMOP365889	Budesonide 0.4 MG/ACTUAT / formoterol 0.012 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Sigma-Tau	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21023173	OMOP365893	Budesonide 0.4 MG/ACTUAT / formoterol 0.012 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Astrazeneca	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21025797	OMOP412303	Budesonide 0.09 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Sigma-Tau	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21025800	OMOP412396	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21025801	OMOP412399	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Easyhaler Budesonide] by Orion	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21030410	OMOP318803	50 ACTUAT Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Mawdsley-Brooks	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21030418	OMOP319973	60 ACTUAT Budesonide 0.4 MG/ACTUAT / formoterol 0.012 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Sigma-Tau	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21030425	OMOP323549	100 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Lexon	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21030426	OMOP323551	100 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Dowelhurst	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21035540	OMOP412341	Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Budelin]	Branded Drug	Drug	RxNorm Extension	Valid	Standard
21035541	OMOP412349	Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Lexon	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21035544	OMOP412397	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler by Dowelhurst	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21035545	OMOP412403	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Sigma-Tau	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21035546	OMOP412407	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Lexon	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21040234	OMOP318808	50 ACTUAT Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Necessity Supplies	Marketed Product	Drug	RxNorm Extension	Invalid	Non-standard
21040243	OMOP319974	60 ACTUAT Budesonide 0.4 MG/ACTUAT / formoterol 0.012 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21040248	OMOP323547	100 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by DE	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21040249	OMOP323553	100 ACTUAT Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler	Quant Clinical Drug	Drug	RxNorm Extension	Valid	Standard
21040285	OMOP327363	200 ACTUAT Budesonide 0.09 MG/ACTUAT Dry Powder Inhaler [Easyhaler Budesonide]	Quant Branded Drug	Drug	RxNorm Extension	Valid	Standard
21040286	OMOP327390	200 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Easyhaler Budesonide]	Quant Branded Drug	Drug	RxNorm Extension	Valid	Standard
21042840	OMOP365888	Budesonide 0.4 MG/ACTUAT / formoterol 0.012 MG/ACTUAT Dry Powder Inhaler [Symbicort] by Mawdsley-Brooks	Marketed Product	Drug	RxNorm Extension	Valid	Standard
21045410	OMOP412400	Budesonide 0.4 MG/ACTUAT Dry Powder Inhaler [Pulmicort] by Mawdsley-Brooks	Marketed Product	Drug	RxNorm Extension	Valid	Standard
