Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
21183313	10273211000001108	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21185164	18507211000001101	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21188939	3634611000001108	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials 20 unit dose	VMPP	Drug	dm+d	Valid	Non-standard
21194786	21804711000001105	Budesonide 1mg/2ml nebuliser liquid unit dose vials (Waymade Healthcare Plc) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21195046	22622711000001104	Budesonide 1mg/2ml nebuliser liquid unit dose vials (DE Pharmaceuticals) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21195773	30004411000001109	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Mawdsley-Brooks & Company Ltd) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21199723	3654611000001109	Budesonide 1mg/2ml nebuliser liquid unit dose vials	VMP	Drug	dm+d	Valid	Non-standard
21202150	10272811000001101	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21202151	10273611000001105	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21202185	10347911000001102	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21202367	11005511000001104	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21202368	11005711000001109	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21210620	10273111000001102	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd) 20 unit dose 4 x 5 unit dose vials	AMPP	Drug	dm+d	Valid	Non-standard
21210621	10273311000001100	Budesonide 1mg/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd) 20 unit dose 4 x 5 unit dose vials	AMPP	Drug	dm+d	Valid	Non-standard
21210622	10274711000001104	Budesonide 1mg/2ml nebuliser liquid unit dose vials (Teva UK Ltd) 20 unit dose 4 x 5 unit dose vials	AMPP	Drug	dm+d	Valid	Non-standard
21210655	10347811000001107	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Alliance Healthcare (Distribution) Ltd) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21210708	10453311000001104	Budesonide 1mg/2ml nebuliser liquid unit dose vials (Arrow Generics Ltd) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21212537	17810311000001104	Budesonide 1mg/2ml nebuliser liquid unit dose vials (Phoenix Healthcare Distribution Ltd) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21213463	21804511000001100	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Waymade Healthcare Plc) 20 unit dose	AMPP	Drug	dm+d	Valid	Non-standard
21218409	3654511000001105	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials	VMP	Drug	dm+d	Valid	Non-standard
21220777	10326711000001104	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21222343	17810011000001102	Budesonide 1mg/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
21223060	21804411000001104	Budesonide 500micrograms/2ml nebuliser liquid unit dose vials	AMP	Drug	dm+d	Valid	Non-standard
