Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
19130450	799034	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
19130452	799037	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
19130453	799038	60 ACTUAT ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
19130455	799040	60 ACTUAT ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler [Alvesco]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
19133104	825320	120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
40152662	799033	ciclesonide Metered Dose Inhaler	Clinical Drug Form	Drug	RxNorm	Valid	Standard
40152663	799036	ciclesonide Metered Dose Inhaler [Alvesco]	Branded Drug Form	Drug	RxNorm	Valid	Standard
40848399	OMOP2046361	ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 120	Branded Drug Box	Drug	RxNorm Extension	Valid	Standard
40868403	OMOP2066365	ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler Box of 120	Clinical Drug Box	Drug	RxNorm Extension	Valid	Standard
41004197	OMOP2202159	ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 120	Branded Drug Box	Drug	RxNorm Extension	Valid	Standard
41086871	OMOP2284833	ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler Box of 60	Clinical Drug Box	Drug	RxNorm Extension	Valid	Standard
41149623	OMOP2347585	ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler Box of 120	Clinical Drug Box	Drug	RxNorm Extension	Valid	Standard
41316235	OMOP2514197	ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60	Branded Drug Box	Drug	RxNorm Extension	Valid	Standard
41521453	OMOP2719415	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler Box of 60	Quant Clinical Box	Drug	RxNorm Extension	Valid	Standard
41521491	OMOP2719453	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Axicorp	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521510	OMOP2719472	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Gerke	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521517	OMOP2719479	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] by Gerke	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521525	OMOP2719487	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60	Quant Branded Box	Drug	RxNorm Extension	Valid	Standard
41521532	OMOP2719494	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Emra-Med	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521559	OMOP2719521	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] by Emra-Med	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521588	OMOP2719550	60 ACTUAT ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler [Alvesco] by Gerke	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521590	OMOP2719552	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Cc	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521591	OMOP2719553	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Aca Mueller	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521602	OMOP2719564	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Kohlpharma	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521604	OMOP2719566	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 60 by Eurim-Pharm	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41521605	OMOP2719567	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] by Axicorp	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41522343	OMOP2720305	120 ACTUAT ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 120 by Astrazeneca	Marketed Product	Drug	RxNorm Extension	Valid	Standard
41522352	OMOP2720314	120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler Box of 120	Quant Clinical Box	Drug	RxNorm Extension	Valid	Standard
41522381	OMOP2720343	120 ACTUAT ciclesonide 0.08 MG/ACTUAT Metered Dose Inhaler [Alvesco]	Quant Branded Drug	Drug	RxNorm Extension	Valid	Standard
41522382	OMOP2720344	120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco] Box of 120	Quant Branded Box	Drug	RxNorm Extension	Valid	Standard
