Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
1137567	746718	28 ACTUAT fluticasone 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137568	746722	28 ACTUAT fluticasone 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair Diskus 100/50]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137569	746725	28 ACTUAT fluticasone 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137570	746729	28 ACTUAT fluticasone 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair Diskus 500/50]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137602	746731	60 ACTUAT fluticasone 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair Diskus 500/50]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137603	746732	60 ACTUAT fluticasone 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137604	746733	60 ACTUAT fluticasone 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair Diskus 100/50]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137605	746734	28 ACTUAT fluticasone 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137606	746738	28 ACTUAT fluticasone 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair Diskus 250/50]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137607	746739	60 ACTUAT fluticasone 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149646	746766	60 ACTUAT fluticasone 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149647	746772	60 ACTUAT fluticasone 0.1 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149648	746774	60 ACTUAT fluticasone 0.25 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149649	746788	28 ACTUAT fluticasone 0.05 MG/ACTUAT Dry Powder Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1366411	2110508	fluticasone / salmeterol Dry Powder Inhaler [Wixela]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1366413	2110511	Fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela]	Branded Drug	Drug	RxNorm	Valid	Standard
1366415	2110514	Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela]	Branded Drug	Drug	RxNorm	Valid	Standard
