Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
1137541	744612	120 ACTUAT fluticasone 0.115 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137563	744783	120 ACTUAT fluticasone 0.23 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair HFA]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1137565	745623	120 ACTUAT fluticasone 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1137566	745625	120 ACTUAT fluticasone 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair HFA]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1149606	746413	120 ACTUAT fluticasone 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1149607	746414	60 ACTUAT fluticasone 0.11 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149608	746417	60 ACTUAT fluticasone 0.22 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149609	746418	60 ACTUAT fluticasone 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1149610	746419	120 ACTUAT fluticasone 0.22 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149642	746422	120 ACTUAT fluticasone 0.044 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149643	746423	120 ACTUAT fluticasone 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1149644	746424	60 ACTUAT fluticasone 0.044 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1149645	746425	60 ACTUAT fluticasone 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19127562	744780	120 ACTUAT fluticasone 0.23 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19127565	744801	120 ACTUAT fluticasone 0.115 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair HFA]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19127699	746404	120 ACTUAT fluticasone 0.11 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19127701	746415	60 ACTUAT fluticasone 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19127702	746420	120 ACTUAT fluticasone 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
35524505	53002131001	120 ACTUAT Fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]	11-digit NDC	Drug	NDC	Valid	Non-standard
40144024	744485	fluticasone / salmeterol Metered Dose Inhaler	Clinical Drug Form	Drug	RxNorm	Valid	Standard
40144025	744782	fluticasone / salmeterol Metered Dose Inhaler [Advair HFA]	Branded Drug Form	Drug	RxNorm	Invalid	Non-standard
40144037	746403	fluticasone Metered Dose Inhaler	Clinical Drug Form	Drug	RxNorm	Valid	Standard
40144038	746412	fluticasone Metered Dose Inhaler [Flovent]	Branded Drug Form	Drug	RxNorm	Valid	Standard
40169216	895994	120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
40169217	895996	120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
40169218	896236	120 ACTUAT Fluticasone propionate 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
40169219	896237	120 ACTUAT Fluticasone propionate 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
