Id	Code	Name	Concept Class Id	Domain	Vocabulary	Invalid Reason	Standard Concept
35754211	OMOP2755672	Mometasone 0.22 MG/ACTUAT Metered Dose Inhaler [Asmanex]	Branded Drug	Drug	RxNorm Extension	Invalid	Non-standard
35754938	OMOP2756399	Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex] by Merck	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35767377	OMOP2768838	Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex] by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35770647	OMOP2772108	Mometasone 0.22 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm Extension	Invalid	Non-standard
35798110	OMOP2799571	30 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm Extension	Valid	Standard
35798111	OMOP2799572	30 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex] by Merck	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35798112	OMOP2799573	30 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex]	Quant Branded Drug	Drug	RxNorm Extension	Valid	Standard
35798278	OMOP2799739	60 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler	Quant Clinical Drug	Drug	RxNorm Extension	Valid	Standard
35798301	OMOP2799762	60 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex] by Merck	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35798302	OMOP2799763	60 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex] by Waymade	Marketed Product	Drug	RxNorm Extension	Valid	Standard
35798333	OMOP2799794	60 ACTUAT Mometasone 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex]	Quant Branded Drug	Drug	RxNorm Extension	Valid	Standard
